,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-01-26,138.78,138.69,138.87,354785.0
2022-01-27,139.69,139.64,139.75,285553.0
2022-01-28,143.95,143.92,143.98,255607.0
2022-01-31,149.54,149.48,149.59,252908.0
2022-02-01,151.16,151.13,151.19,180357.0
2022-02-02,150.58,150.55,150.62,308434.0
2022-02-03,139.2,138.9,139.5,691268.0
2022-02-04,157.63,157.6,157.65,1017503.0
2022-02-07,157.94,157.94,157.95,437330.0
2022-02-08,161.45,161.41,161.5,289848.0
2022-02-09,161.18,161.15,161.21,229333.0
2022-02-10,159.03,159.0,159.06,217166.0
2022-02-11,153.19,153.14,153.25,277526.0
2022-02-14,155.11,155.08,155.13,316936.0
2022-02-15,156.46,156.4,156.51,181732.0
2022-02-16,158.17,158.1,158.23,198889.0
2022-02-17,154.64,154.58,154.7,215956.0
2022-02-18,152.63,152.58,152.67,211419.0
2022-02-22,150.23,150.17,150.3,232297.0
2022-02-23,144.9,144.83,144.97,229182.0
2022-02-24,151.27,151.19,151.35,386944.0
2022-02-25,153.82,153.8,153.84,221665.0
2022-02-28,153.5,153.41,153.6,178905.0
2022-03-01,151.18,151.14,151.22,148442.0
2022-03-02,152.03,152.0,152.05,166456.0
2022-03-03,147.87,147.85,147.9,250370.0
2022-03-04,145.57,145.55,145.59,210167.0
2022-03-07,137.5,137.45,137.55,321294.0
2022-03-08,135.99,135.96,136.01,369110.0
2022-03-09,139.24,139.19,139.29,245088.0
2022-03-10,146.87,146.81,146.92,472497.0
2022-03-11,145.54,145.48,145.6,214228.0
2022-03-14,141.89,141.85,141.94,262892.0
2022-03-15,147.46,147.37,147.55,247782.0
2022-03-16,153.14,153.13,153.15,259251.0
2022-03-17,157.31,157.24,157.38,233525.0
2022-03-18,161.29,161.25,161.32,349408.0
2022-03-21,161.5,161.46,161.54,213189.0
2022-03-22,164.92,164.89,164.95,221297.0
2022-03-23,163.41,163.41,163.41,184691.0
2022-03-24,163.65,163.64,163.66,157252.0
2022-03-25,164.81,164.77,164.84,178322.0
2022-03-28,169.03,169.02,169.04,193262.0
2022-03-29,169.32,169.32,169.32,206557.0
2022-03-30,166.35,166.32,166.37,173134.0
2022-03-31,162.99,162.97,163.01,176214.0
2022-04-01,163.59,163.57,163.61,202871.0
2022-04-04,168.36,168.36,168.37,174168.0
2022-04-05,164.09,164.02,164.15,177968.0
2022-04-06,158.73,158.73,158.73,277862.0
2022-04-07,157.76,157.7,157.82,256699.0
2022-04-08,154.49,154.46,154.53,146274.0
2022-04-11,151.18,151.12,151.24,189416.0
2022-04-12,150.78,150.77,150.8,188084.0
2022-04-13,155.58,155.54,155.61,200889.0
2022-04-14,151.67,151.65,151.7,167549.0
2022-04-18,152.82,152.8,152.83,182645.0
2022-04-19,158.16,158.11,158.2,198106.0
2022-04-20,154.02,154.0,154.03,223953.0
2022-04-21,148.27,148.22,148.32,220813.0
2022-04-22,144.35,144.3,144.39,247997.0
2022-04-25,146.04,146.01,146.07,225765.0
2022-04-26,139.42,139.39,139.45,255005.0
2022-04-27,138.11,138.04,138.17,237219.0
