,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-01-26,294.63,294.6,294.65,170293.0
2022-01-27,294.62,294.59,294.64,132471.0
2022-01-28,301.67,301.55,301.79,137546.0
2022-01-31,313.25,313.25,313.26,114880.0
2022-02-01,318.92,318.85,318.98,99169.0
2022-02-02,322.86,322.71,323.0,231996.0
2022-02-03,237.8,237.76,237.83,1283398.0
2022-02-04,237.07,237.06,237.08,615012.0
2022-02-07,224.96,224.94,224.98,635926.0
2022-02-08,220.15,220.11,220.18,696565.0
2022-02-09,232.0,232.0,232.01,618790.0
2022-02-10,228.09,228.08,228.09,328441.0
2022-02-11,219.53,219.51,219.56,305107.0
2022-02-14,217.66,217.63,217.7,263723.0
2022-02-15,220.99,220.98,221.0,287790.0
2022-02-16,216.55,216.54,216.55,302304.0
2022-02-17,207.7,207.69,207.71,261032.0
2022-02-18,206.19,206.15,206.22,242909.0
2022-02-22,202.09,202.08,202.09,270854.0
2022-02-23,198.46,198.45,198.47,312456.0
2022-02-24,207.57,207.53,207.61,357566.0
2022-02-25,210.5,210.47,210.52,252108.0
2022-02-28,211.09,210.99,211.18,204655.0
2022-03-01,203.52,203.49,203.54,168810.0
2022-03-02,208.09,208.06,208.11,198257.0
2022-03-03,202.94,202.9,202.98,185072.0
2022-03-04,200.06,200.01,200.1,218620.0
2022-03-07,187.49,187.47,187.5,257723.0
2022-03-08,190.2,190.18,190.22,240044.0
2022-03-09,198.52,198.49,198.55,218892.0
2022-03-10,195.19,195.18,195.21,152750.0
2022-03-11,187.6,187.59,187.61,228352.0
2022-03-14,186.59,186.55,186.63,205274.0
2022-03-15,192.06,192.01,192.11,201307.0
2022-03-16,203.71,203.7,203.71,246624.0
2022-03-17,207.91,207.91,207.92,193211.0
2022-03-18,216.52,216.49,216.54,268683.0
2022-03-21,211.5,211.49,211.5,186775.0
2022-03-22,216.66,216.65,216.66,209929.0
2022-03-23,213.44,213.4,213.47,154138.0
2022-03-24,219.63,219.62,219.63,211373.0
2022-03-25,221.86,221.81,221.91,272770.0
2022-03-28,223.61,223.6,223.61,162954.0
2022-03-29,229.9,229.88,229.91,214091.0
2022-03-30,227.87,227.83,227.9,180983.0
2022-03-31,222.34,222.3,222.38,140725.0
2022-04-01,224.84,224.8,224.87,135328.0
2022-04-04,233.92,233.91,233.93,180269.0
2022-04-05,231.87,231.86,231.87,213229.0
2022-04-06,223.28,223.27,223.3,199584.0
2022-04-07,222.93,222.9,222.95,123800.0
2022-04-08,222.38,222.36,222.4,121045.0
2022-04-11,216.47,216.46,216.47,136950.0
2022-04-12,214.13,214.11,214.14,133994.0
2022-04-13,214.97,214.94,214.99,129053.0
2022-04-14,210.16,210.14,210.18,112229.0
2022-04-18,210.78,210.77,210.8,113450.0
2022-04-19,217.3,217.28,217.32,139488.0
2022-04-20,200.45,200.42,200.48,314875.0
2022-04-21,188.05,188.03,188.07,353892.0
2022-04-22,184.09,184.08,184.11,244422.0
2022-04-25,187.01,186.99,187.03,203757.0
2022-04-26,180.96,180.91,181.0,208294.0
2022-04-27,174.91,174.9,174.92,414286.0
2022-04-28,205.74,205.73,205.75,757868.0
2022-04-29,200.5,200.49,200.51,361796.0
2022-05-02,211.13,211.13,211.14,381252.0
2022-05-03,212.06,212.06,212.07,322124.0
2022-05-04,223.41,223.37,223.45,299809.0
2022-05-05,208.39,208.33,208.45,293899.0
2022-05-06,203.77,203.76,203.77,251173.0
2022-05-09,196.22,196.21,196.22,241134.0
2022-05-10,197.58,197.57,197.58,237821.0
2022-05-11,188.77,188.75,188.79,208376.0
2022-05-12,191.25,191.24,191.25,273878.0
2022-05-13,198.66,198.66,198.67,163202.0
2022-05-16,200.05,200.03,200.06,193370.0
2022-05-17,202.69,202.67,202.7,173540.0
2022-05-18,192.28,192.27,192.3,157814.0
2022-05-19,191.22,191.18,191.27,171317.0
2022-05-20,193.62,193.59,193.65,221099.0
2022-05-23,196.27,196.26,196.27,158723.0
2022-05-24,181.28,181.27,181.28,372520.0
2022-05-25,183.83,183.82,183.83,195643.0
2022-05-26,191.58,191.54,191.61,158495.0
2022-05-27,195.12,195.11,195.13,161437.0
2022-05-31,193.56,193.55,193.56,149091.0
2022-06-01,188.62,188.59,188.64,258924.0
2022-06-02,198.86,198.83,198.89,232218.0
2022-06-03,190.78,190.78,190.79,132145.0
2022-06-06,194.24,194.23,194.24,236871.0
2022-06-07,195.64,195.63,195.65,133260.0
2022-06-08,196.63,196.63,196.64,160220.0
2022-06-09,183.97,183.94,184.0,169572.0
2022-06-10,175.56,175.56,175.57,171803.0
2022-06-13,164.25,164.25,164.26,207006.0
2022-06-14,163.77,163.76,163.77,174912.0
2022-06-15,169.34,169.34,169.35,205298.0
2022-06-16,160.99,160.98,160.99,172800.0
2022-06-17,163.72,163.69,163.74,169567.0
2022-06-21,157.05,157.04,157.05,390629.0
2022-06-22,155.74,155.73,155.75,341202.0
2022-06-23,158.73,158.71,158.75,293586.0
2022-06-24,170.16,170.16,170.17,301648.0
2022-06-27,169.5,169.5,169.51,212227.0
2022-06-28,160.68,160.67,160.68,197371.0
2022-06-29,163.93,163.91,163.94,213974.0
2022-06-30,161.28,161.26,161.3,264605.0
2022-07-01,160.05,160.04,160.05,246051.0
2022-07-05,168.22,168.19,168.25,212905.0
2022-07-06,169.78,169.77,169.79,169278.0
2022-07-07,172.17,172.15,172.19,177750.0
2022-07-08,170.88,170.87,170.88,145369.0
2022-07-11,162.9,162.89,162.9,151184.0
2022-07-12,163.28,163.27,163.28,114688.0
2022-07-13,163.43,163.41,163.44,108864.0
2022-07-14,158.06,158.05,158.06,157373.0
2022-07-15,164.68,164.67,164.68,150615.0
2022-07-18,167.22,167.2,167.23,161642.0
2022-07-19,175.69,175.69,175.7,183074.0
2022-07-20,183.08,183.07,183.09,178967.0
2022-07-21,183.18,183.17,183.18,181387.0
2022-07-22,169.29,169.28,169.3,315157.0
2022-07-25,166.68,166.67,166.68,179069.0
2022-07-26,159.12,159.09,159.15,186115.0
2022-07-27,169.43,169.36,169.5,246402.0
2022-07-28,160.72,160.72,160.73,540509.0
2022-07-29,159.07,159.04,159.1,307525.0
2022-08-01,159.94,159.93,159.94,311809.0
2022-08-02,160.18,160.16,160.19,196545.0
2022-08-03,168.78,168.77,168.79,234226.0
2022-08-04,170.58,170.56,170.59,169788.0
2022-08-05,167.09,167.08,167.1,192462.0
2022-08-08,170.24,170.23,170.25,206239.0
2022-08-09,168.54,168.53,168.55,129715.0
2022-08-10,178.31,178.3,178.32,220019.0
2022-08-11,177.5,177.49,177.5,173180.0
2022-08-12,180.48,180.46,180.5,146985.0
2022-08-15,180.89,180.88,180.9,114643.0
2022-08-16,179.47,179.47,179.48,147042.0
2022-08-17,174.87,174.85,174.88,143857.0
2022-08-18,174.68,174.65,174.7,140293.0
2022-08-19,167.96,167.95,167.96,183775.0
2022-08-22,163.08,163.06,163.09,131956.0
2022-08-23,161.1,161.1,161.11,127133.0
2022-08-24,163.27,163.26,163.27,144475.0
2022-08-25,168.8,168.78,168.82,107481.0
2022-08-26,161.78,161.78,161.79,168001.0
2022-08-29,159.16,159.15,159.16,125730.0
2022-08-30,157.18,157.17,157.18,139371.0
2022-08-31,162.91,162.91,162.92,284201.0
2022-09-01,165.38,165.35,165.41,229934.0
2022-09-02,160.35,160.33,160.38,159565.0
2022-09-06,158.55,158.54,158.55,134405.0
2022-09-07,160.38,160.37,160.38,114294.0
2022-09-08,162.1,162.1,162.11,165514.0
2022-09-09,169.13,169.12,169.15,163107.0
2022-09-12,168.97,168.96,168.97,159840.0
2022-09-13,153.13,153.13,153.14,317827.0
2022-09-14,151.49,151.47,151.5,317030.0
2022-09-15,149.55,149.54,149.55,256728.0
2022-09-16,146.28,146.26,146.29,274710.0
2022-09-19,148.02,148.01,148.02,162393.0
2022-09-20,146.08,146.07,146.08,170736.0
2022-09-21,142.08,142.07,142.08,297181.0
2022-09-22,142.8,142.79,142.81,240106.0
