,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-01-26,296.79,296.59,296.98,598968.0
2022-01-27,299.81,299.79,299.84,348471.0
2022-01-28,308.2,308.11,308.29,303121.0
2022-01-31,310.83,310.73,310.93,258115.0
2022-02-01,308.77,308.74,308.8,244249.0
2022-02-02,313.44,313.37,313.51,202141.0
2022-02-03,301.41,301.23,301.59,245418.0
2022-02-04,305.87,305.79,305.95,188789.0
2022-02-07,301.01,300.95,301.07,151808.0
2022-02-08,304.54,304.53,304.55,156335.0
2022-02-09,311.21,311.2,311.22,184282.0
2022-02-10,302.38,302.38,302.39,261876.0
2022-02-11,294.94,294.91,294.96,222534.0
2022-02-14,294.96,294.94,294.98,192398.0
2022-02-15,300.5,300.47,300.54,153770.0
2022-02-16,299.63,299.5,299.77,159238.0
2022-02-17,290.76,290.73,290.8,165042.0
2022-02-18,287.91,287.82,287.99,190761.0
2022-02-22,287.76,287.72,287.8,195831.0
2022-02-23,280.31,280.27,280.35,184365.0
2022-02-24,294.53,294.46,294.59,338163.0
2022-02-25,297.34,297.29,297.39,189106.0
2022-02-28,299.08,299.03,299.13,183198.0
2022-03-01,294.98,294.95,295.01,177795.0
2022-03-02,300.13,300.08,300.18,175444.0
2022-03-03,295.92,295.88,295.95,157906.0
2022-03-04,289.74,289.68,289.8,184823.0
2022-03-07,278.95,278.9,279.01,244916.0
2022-03-08,275.75,275.72,275.79,304299.0
2022-03-09,288.48,288.36,288.6,196804.0
2022-03-10,285.63,285.55,285.72,167152.0
2022-03-11,280.05,280.02,280.07,146425.0
2022-03-14,276.43,276.39,276.47,176322.0
2022-03-15,287.14,287.03,287.25,184676.0
2022-03-16,294.47,294.42,294.52,216919.0
2022-03-17,295.48,295.38,295.57,165750.0
2022-03-18,300.46,300.42,300.5,232240.0
2022-03-21,299.18,299.15,299.2,145106.0
2022-03-22,304.13,304.1,304.17,145720.0
2022-03-23,299.44,299.41,299.46,142828.0
2022-03-24,304.11,304.1,304.11,122468.0
2022-03-25,303.69,303.68,303.69,135447.0
2022-03-28,310.75,310.75,310.76,166135.0
2022-03-29,315.42,315.41,315.42,174810.0
2022-03-30,313.8,313.74,313.86,148363.0
2022-03-31,308.1,308.08,308.11,165286.0
2022-04-01,309.43,309.42,309.43,154509.0
2022-04-04,315.06,315.05,315.07,138303.0
2022-04-05,310.93,310.83,311.02,141173.0
2022-04-06,299.45,299.4,299.5,249526.0
2022-04-07,301.56,301.47,301.66,196525.0
2022-04-08,296.95,296.91,297.0,140546.0
2022-04-11,285.32,285.26,285.39,224593.0
2022-04-12,282.0,281.97,282.02,198022.0
2022-04-13,287.61,287.6,287.62,134418.0
2022-04-14,279.85,279.78,279.92,160681.0
2022-04-18,280.56,280.52,280.6,133212.0
2022-04-19,285.32,285.27,285.38,126724.0
2022-04-20,286.33,286.31,286.36,131915.0
2022-04-21,280.79,280.77,280.81,173417.0
