,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-01-26,22.8,22.77,22.82,5189187.0
2022-01-27,21.93,21.93,21.94,3892142.0
2022-01-28,22.85,22.84,22.86,3778885.0
2022-01-31,24.49,24.47,24.51,3897523.0
2022-02-01,24.63,24.62,24.64,3572758.0
2022-02-02,25.24,25.23,25.25,3575148.0
2022-02-03,23.96,23.95,23.97,2544463.0
2022-02-04,24.31,24.31,24.32,2260731.0
2022-02-07,24.74,24.73,24.74,2522100.0
2022-02-08,25.1,25.1,25.11,2739568.0
2022-02-09,26.71,26.71,26.71,3466833.0
2022-02-10,25.83,25.82,25.84,3440777.0
2022-02-11,23.95,23.94,23.95,3929086.0
2022-02-14,24.25,24.24,24.26,2954743.0
2022-02-15,26.51,26.5,26.52,4849461.0
2022-02-16,26.52,26.51,26.54,4559793.0
2022-02-17,24.52,24.51,24.52,5642340.0
2022-02-18,23.64,23.63,23.64,5231172.0
2022-02-22,23.41,23.41,23.41,4338584.0
2022-02-23,22.39,22.38,22.39,3765306.0
2022-02-24,23.76,23.75,23.76,5116855.0
2022-02-25,24.16,24.16,24.17,3778763.0
2022-02-28,24.39,24.38,24.39,2979267.0
2022-03-01,23.49,23.48,23.49,2832962.0
2022-03-02,24.22,24.21,24.22,2717194.0
2022-03-03,23.71,23.71,23.72,2488344.0
2022-03-04,22.92,22.9,22.94,3040225.0
2022-03-07,21.34,21.34,21.34,2991920.0
2022-03-08,21.51,21.51,21.51,3955104.0
2022-03-09,23.03,23.02,23.03,3415912.0
2022-03-10,22.66,22.66,22.67,2717869.0
2022-03-11,22.09,22.08,22.1,2343347.0
2022-03-14,21.32,21.32,21.32,2563810.0
2022-03-15,22.97,22.96,22.98,3318457.0
2022-03-16,24.5,24.5,24.5,4640084.0
2022-03-17,24.77,24.77,24.77,3287935.0
2022-03-18,26.46,26.46,26.47,4717110.0
2022-03-21,26.74,26.74,26.74,4106647.0
2022-03-22,26.52,26.52,26.53,3898522.0
2022-03-23,25.62,25.61,25.63,3575180.0
2022-03-24,28.15,28.15,28.16,6289577.0
2022-03-25,27.72,27.72,27.72,4204528.0
2022-03-28,28.22,28.22,28.22,2884718.0
2022-03-29,28.66,28.66,28.66,3289943.0
2022-03-30,27.69,27.69,27.69,3134068.0
2022-03-31,27.28,27.27,27.28,3416120.0
2022-04-01,26.7,26.69,26.71,3598811.0
2022-04-04,27.37,27.37,27.37,2631018.0
2022-04-05,25.93,25.93,25.93,2913657.0
2022-04-06,24.39,24.39,24.39,4823254.0
2022-04-07,24.2,24.2,24.2,3943382.0
2022-04-08,23.11,23.11,23.11,3806442.0
2022-04-11,21.92,21.91,21.92,3773297.0
2022-04-12,21.5,21.5,21.5,4400667.0
2022-04-13,22.21,22.2,22.21,3595952.0
2022-04-14,21.26,21.26,21.26,3840113.0
2022-04-18,21.79,21.78,21.79,3862723.0
2022-04-19,22.2,22.2,22.21,3662583.0
