,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-01-26,3.9,3.9,3.9,10005.0
2022-01-27,3.88,3.87,3.88,8673.0
2022-01-28,4.01,4.01,4.02,11700.0
2022-01-31,4.05,4.05,4.05,13273.0
2022-02-01,4.17,4.17,4.18,22010.0
2022-02-02,4.38,4.37,4.38,65148.0
2022-02-03,3.93,3.93,3.93,46551.0
2022-02-04,3.82,3.82,3.82,21938.0
2022-02-07,3.8,3.8,3.81,18355.0
2022-02-08,3.85,3.85,3.85,9973.0
2022-02-09,3.87,3.86,3.87,11876.0
2022-02-10,3.86,3.86,3.86,19734.0
2022-02-11,3.81,3.81,3.81,12138.0
2022-02-14,3.81,3.81,3.81,9026.0
2022-02-15,3.97,3.97,3.97,12020.0
2022-02-16,3.98,3.98,3.98,7642.0
2022-02-17,3.89,3.88,3.9,7300.0
2022-02-18,3.92,3.92,3.92,19317.0
2022-02-22,3.92,3.92,3.93,25119.0
2022-02-23,3.91,3.9,3.91,18125.0
2022-02-24,3.92,3.91,3.92,13894.0
2022-02-25,4.02,4.01,4.02,21723.0
2022-02-28,3.93,3.92,3.93,17298.0
2022-03-01,3.99,3.99,4.0,26577.0
2022-03-02,4.22,4.22,4.23,17625.0
2022-03-03,4.22,4.21,4.22,9355.0
2022-03-04,4.16,4.16,4.17,10256.0
2022-03-07,4.05,4.04,4.05,15396.0
2022-03-08,4.05,4.04,4.05,20398.0
2022-03-09,4.16,4.15,4.16,7873.0
2022-03-10,4.12,4.12,4.12,10953.0
2022-03-11,4.16,4.16,4.17,9754.0
2022-03-14,4.06,4.05,4.06,11930.0
2022-03-15,4.18,4.18,4.19,9689.0
2022-03-16,4.28,4.27,4.28,9447.0
2022-03-17,4.2,4.19,4.2,6229.0
2022-03-18,4.29,4.29,4.3,13238.0
2022-03-21,4.3,4.3,4.3,5393.0
2022-03-22,4.3,4.3,4.3,7475.0
2022-03-23,4.24,4.23,4.24,5115.0
2022-03-24,4.25,4.25,4.25,5154.0
2022-03-25,4.2,4.2,4.2,7706.0
2022-03-28,4.19,4.19,4.19,9485.0
2022-03-29,4.25,4.24,4.25,14371.0
2022-03-30,3.96,3.95,3.96,21954.0
2022-03-31,3.8,3.8,3.81,15212.0
2022-04-01,3.79,3.79,3.79,13076.0
2022-04-04,3.78,3.77,3.78,14711.0
2022-04-05,3.64,3.64,3.65,7794.0
2022-04-06,3.53,3.53,3.54,8868.0
2022-04-07,3.54,3.54,3.54,8997.0
2022-04-08,3.53,3.53,3.53,17423.0
2022-04-11,3.52,3.52,3.52,9787.0
2022-04-12,3.49,3.48,3.49,8003.0
2022-04-13,3.56,3.56,3.56,5192.0
2022-04-14,3.65,3.65,3.65,18950.0
2022-04-18,3.66,3.66,3.66,5809.0
2022-04-19,4.47,4.46,4.47,131354.0
2022-04-20,4.5,4.5,4.51,39956.0
2022-04-21,4.27,4.27,4.27,46358.0
2022-04-22,4.24,4.24,4.24,23358.0
2022-04-25,4.28,4.28,4.28,10139.0
2022-04-26,4.13,4.13,4.13,14439.0
2022-04-27,4.17,4.16,4.17,13612.0
2022-04-28,4.3,4.3,4.3,11842.0
2022-04-29,4.21,4.21,4.21,12414.0
2022-05-02,4.24,4.24,4.24,17706.0
2022-05-03,4.32,4.31,4.32,16603.0
2022-05-04,5.67,5.67,5.67,206677.0
2022-05-05,5.3,5.3,5.3,57597.0
2022-05-06,5.13,5.12,5.13,50178.0
2022-05-09,4.92,4.92,4.92,31327.0
2022-05-10,5.11,5.1,5.11,26256.0
2022-05-11,4.93,4.93,4.94,21871.0
2022-05-12,5.11,5.1,5.11,29538.0
2022-05-13,5.23,5.22,5.24,26666.0
2022-05-16,5.26,5.25,5.26,18069.0
2022-05-17,5.4,5.4,5.41,25528.0
2022-05-18,5.23,5.23,5.23,21703.0
2022-05-19,5.04,5.04,5.04,23365.0
2022-05-20,4.97,4.97,4.98,27698.0
2022-05-23,4.93,4.93,4.93,17020.0
2022-05-24,4.74,4.74,4.75,33277.0
2022-05-25,4.88,4.88,4.88,19545.0
2022-05-26,4.93,4.93,4.93,21339.0
2022-05-27,4.95,4.95,4.95,19081.0
2022-05-31,5.0,5.0,5.01,33904.0
