,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-01-26,433.45,433.45,433.46,1348583.0
2022-01-27,431.28,431.27,431.28,1017295.0
2022-01-28,441.91,441.9,441.91,1140742.0
2022-01-31,449.79,449.78,449.79,892996.0
2022-02-01,452.98,452.97,452.98,719075.0
2022-02-02,457.31,457.3,457.31,712647.0
2022-02-03,446.67,446.66,446.67,796161.0
2022-02-04,448.75,448.73,448.76,772624.0
2022-02-07,447.23,447.23,447.23,608560.0
2022-02-08,450.88,450.88,450.89,582319.0
2022-02-09,457.5,457.49,457.5,610783.0
2022-02-10,449.38,449.38,449.39,933136.0
2022-02-11,440.5,440.49,440.51,1117255.0
2022-02-14,439.06,439.05,439.06,886131.0
2022-02-15,446.07,446.07,446.08,625188.0
2022-02-16,446.63,446.63,446.64,599738.0
2022-02-17,437.12,437.11,437.12,695802.0
2022-02-18,434.26,434.26,434.27,811748.0
2022-02-22,429.66,429.65,429.66,878658.0
2022-02-23,421.98,421.97,421.98,919778.0
2022-02-24,428.31,428.3,428.31,1406779.0
2022-02-25,437.68,437.67,437.69,881847.0
2022-02-28,436.66,436.65,436.66,1021429.0
2022-03-01,430.01,430.01,430.02,934548.0
2022-03-02,437.82,437.82,437.83,823874.0
2022-03-03,435.74,435.73,435.74,780057.0
2022-03-04,432.24,432.24,432.24,821046.0
2022-03-07,419.48,419.47,419.48,890829.0
2022-03-08,416.31,416.3,416.31,1172156.0
2022-03-09,427.41,427.4,427.41,761017.0
2022-03-10,425.5,425.49,425.5,643762.0
2022-03-11,420.09,420.08,420.09,672446.0
2022-03-14,417.06,417.05,417.06,707117.0
2022-03-15,426.13,426.12,426.15,697451.0
2022-03-16,435.61,435.6,435.61,983719.0
2022-03-17,441.0,441.0,441.01,612455.0
2022-03-18,444.47,444.46,444.47,607117.0
2022-03-21,444.45,444.44,444.47,618880.0
2022-03-22,449.57,449.57,449.58,531289.0
2022-03-23,443.84,443.84,443.84,519366.0
2022-03-24,450.41,450.4,450.42,435744.0
2022-03-25,452.63,452.63,452.64,500135.0
2022-03-28,455.87,455.86,455.87,456809.0
2022-03-29,461.61,461.6,461.61,606399.0
2022-03-30,458.72,458.71,458.72,510887.0
