,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2005-01-31,118.16,118.15,118.16,454880.0
2005-02-01,118.95,118.94,118.95,459278.0
2005-02-02,119.31,119.31,119.32,505340.0
2005-02-03,118.91,119.03,118.79,428787.0
2005-02-04,120.22,120.22,120.22,458096.0
2005-02-07,120.11,120.11,120.11,429141.0
2005-02-08,120.22,120.21,120.23,336409.0
2005-02-09,119.32,119.32,119.32,533873.0
2005-02-10,119.75,119.75,119.76,444316.0
2005-02-11,120.77,120.76,120.77,505197.0
2005-02-14,120.7,120.7,120.7,296461.0
2005-02-15,121.16,121.15,121.16,397735.0
2005-02-16,121.17,121.17,121.18,471253.0
2005-02-17,120.25,120.25,120.25,529544.0
2005-02-18,120.39,120.39,120.39,392909.0
2005-02-22,118.63,118.62,118.63,720625.0
2005-02-23,119.45,119.44,119.45,649910.0
2005-02-24,120.25,120.25,120.26,637631.0
2005-02-25,121.39,121.39,121.39,573403.0
2005-02-28,120.67,120.67,120.68,662620.0
2005-03-01,121.23,121.23,121.24,435319.0
2005-03-02,121.21,121.21,121.21,583612.0
2005-03-03,121.23,121.22,121.24,568058.0
2005-03-04,122.7,122.71,122.69,511113.0
2005-03-07,122.81,122.8,122.81,404878.0
2005-03-08,122.33,122.33,122.33,414310.0
2005-03-09,120.98,120.97,120.99,626158.0
2005-03-10,121.25,121.25,121.26,589637.0
2005-03-11,120.41,120.39,120.43,512604.0
2005-03-14,121.12,121.11,121.12,349129.0
2005-03-15,120.17,120.16,120.18,580707.0
2005-03-16,119.14,119.14,119.14,687713.0
2005-03-17,119.37,119.36,119.37,572628.0
2005-03-18,118.56,118.57,118.55,563422.0
2005-03-21,118.13,118.12,118.13,562079.0
2005-03-22,116.95,116.95,116.96,816317.0
2005-03-23,117.02,117.01,117.02,634135.0
2005-03-24,117.14,117.14,117.15,441664.0
2005-03-28,117.33,117.32,117.34,411616.0
2005-03-29,116.59,116.59,116.59,663728.0
2005-03-30,118.17,118.17,118.17,586740.0
2005-03-31,118.0,118.0,118.01,556225.0
2005-04-01,117.42,117.42,117.42,778675.0
2005-04-04,117.65,117.65,117.65,653545.0
2005-04-05,118.18,118.18,118.18,451094.0
2005-04-06,118.6,118.6,118.6,467391.0
2005-04-07,119.23,119.23,119.23,418399.0
2005-04-08,118.05,118.05,118.04,568843.0
2005-04-11,118.12,118.11,118.13,398613.0
2005-04-12,118.71,118.71,118.71,833905.0
2005-04-13,117.34,117.34,117.35,626230.0
2005-04-14,115.83,115.84,115.82,914624.0
2005-04-15,114.16,114.16,114.15,1152310.0
2005-04-18,114.55,114.56,114.54,945132.0
2005-04-19,115.39,115.39,115.38,602263.0
2005-04-20,113.81,113.8,113.82,937002.0
2005-04-21,116.0,116.0,116.01,782218.0
2005-04-22,115.56,115.55,115.57,817683.0
2005-04-25,116.3,116.29,116.3,485537.0
2005-04-26,115.22,115.22,115.21,700389.0
2005-04-27,115.67,115.66,115.68,780590.0
2005-04-28,114.26,114.26,114.26,681995.0
2005-04-29,115.78,115.77,115.8,936610.0
2005-05-02,116.36,116.36,116.35,498865.0
2005-05-03,116.56,116.56,116.55,774204.0
2005-05-04,117.53,117.52,117.54,732133.0
2005-05-05,117.47,117.46,117.47,911222.0
2005-05-06,117.12,117.1,117.13,579915.0
2005-05-09,117.84,117.84,117.85,414433.0
2005-05-10,116.62,116.61,116.63,700563.0
2005-05-11,117.28,117.28,117.27,852145.0
2005-05-12,116.0,115.99,116.0,831706.0
2005-05-13,115.75,115.74,115.76,803495.0
2005-05-16,116.79,116.79,116.79,467389.0
2005-05-17,117.61,117.6,117.61,572957.0
2005-05-18,118.83,118.83,118.83,713203.0
2005-05-19,119.3,119.29,119.3,599899.0
2005-05-20,119.15,119.14,119.16,442162.0
2005-05-23,119.77,119.77,119.77,485070.0
2005-05-24,119.52,119.52,119.52,482007.0
2005-05-25,119.41,119.41,119.41,454006.0
2005-05-26,120.03,120.02,120.03,418387.0
2005-05-27,120.23,120.22,120.24,226058.0
